Country Name,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,13.37,,,,,,,,,,,,,60.66
Lao PDR,,,,,,,,,,,,,,,,,,,,
Myanmar,,3.14,7.87,47.51,,77.87,133.48,,,,,,,,,,,,,
Malaysia,30.81,,43.21,,39.32,,56.49,,63.00,,43.41,,68.36,71.50,129.92,157.85,161.25,,208.37,129.69
Philippines,,,,,,,,11.31,,10.41,,10.84,,12.18,,12.66,,28.33,,
Singapore,316.83,374.99,361.15,379.31,347.10,356.63,383.38,402.65,465.22,528.23,519.40,500.79,587.60,548.80,461.03,464.82,462.33,458.43,452.24,
Thailand,38.46,73.43,,85.21,,112.12,,202.71,,159.72,,142.58,,225.94,,169.10,,,193.28,243.37
Vietnam,,,,,,,,,,,,,,,,,,70.51,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
