Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,,,,,,,,,,,,,,,3500.00,3700.00,3600.00,3400.00,3500.00,3600.00,4400.00,4400.00,5100.00,6700.00,9600.00,11800.00,12200.00,13600.00,13600.00,16200.00,12739.00,12237.00,11953.00,11812.00,13322.00,11808.00,12381.00,12128.00,13071.00,12274.00,12333.00,11672.00,10374.00,10920.00,10392.00,11624.00,11058.00,
Indonesia,23500.00,24000.00,34200.00,42500.00,64800.00,74100.00,91600.00,105500.00,115300.00,120400.00,124800.00,142600.00,145300.00,143400.00,183000.00,185800.00,181500.00,190600.00,206100.00,193200.00,205400.00,215700.00,236900.00,227200.00,230500.00,262200.00,311200.00,194700.00,196700.00,135000.00,159027.00,164651.00,152278.00,155609.00,318488.00,320724.00,357414.00,357789.00,345240.00,330112.00,520932.08,599692.28,641182.30,576000.00,675005.90,682387.75,762715.15,
Cambodia,1300.00,4400.00,3900.00,4100.00,3800.00,3400.00,3400.00,3400.00,,,,,,,,,,,,,,,,,,,,,,,,,4648.00,4512.00,3893.00,3207.00,3998.00,4324.00,3667.00,3304.00,5104.72,7191.00,7432.00,11897.04,14732.00,12983.00,11933.00,
Lao PDR,3100.00,2300.00,2400.00,2500.00,2400.00,2400.00,2400.00,1800.00,400.00,400.00,400.00,400.00,400.00,400.00,500.00,500.00,1500.00,2000.00,2000.00,2100.00,3400.00,3400.00,3700.00,3700.00,3700.00,3900.00,3900.00,3900.00,3900.00,6300.00,6411.00,6652.00,6971.00,7068.00,8413.00,9002.00,9959.00,9957.00,10007.00,9793.00,11374.00,12262.00,15836.13,16944.00,12732.00,9771.82,9985.36,
Myanmar,21700.00,22500.00,22900.00,23500.00,17900.00,17100.00,17200.00,17400.00,17400.00,18500.00,19400.00,19500.00,21500.00,22300.00,21700.00,22500.00,22500.00,22500.00,22600.00,13800.00,13800.00,13800.00,13800.00,13800.00,13800.00,14500.00,14500.00,14500.00,14700.00,11300.00,10329.00,9709.00,20624.00,20611.00,24729.00,26460.00,28700.00,29235.00,29514.00,28499.00,20485.00,32354.00,37798.83,38028.00,49599.00,51651.76,60627.44,
Malaysia,27700.00,31300.00,38600.00,63400.00,70700.00,72800.00,73700.00,71000.00,71900.00,75100.00,88600.00,97800.00,95800.00,95100.00,95100.00,94700.00,94100.00,101400.00,109400.00,111900.00,130500.00,145800.00,164800.00,164500.00,175000.00,178200.00,188300.00,194100.00,174000.00,164800.00,169263.00,169840.00,189382.00,166716.00,170054.00,176152.00,163665.00,185052.00,176549.00,182002.00,302185.22,336401.00,343382.00,430334.46,443318.55,463739.45,447000.21,
Philippines,95100.00,69000.00,65300.00,66900.00,62700.00,67800.00,70000.00,63400.00,58000.00,61700.00,48900.00,48300.00,51100.00,56800.00,57000.00,57700.00,62900.00,67400.00,71200.00,74200.00,70100.00,63200.00,65100.00,60800.00,61600.00,64000.00,64700.00,65500.00,61800.00,40300.00,44547.00,60511.00,57193.00,56235.00,56647.00,58944.00,61712.00,65212.00,72333.00,87028.00,205318.00,225789.68,241698.56,200532.00,287460.00,325858.76,345772.90,
Singapore,27700.00,31300.00,30300.00,21300.00,22800.00,23800.00,25700.00,27500.00,30300.00,32800.00,32500.00,29900.00,29900.00,34600.00,29800.00,31100.00,31600.00,32900.00,34900.00,32000.00,30500.00,35000.00,39100.00,43100.00,46100.00,51600.00,57200.00,60700.00,61700.00,68400.00,71042.00,72431.00,72444.00,64117.00,76253.00,77119.00,84747.00,87564.00,91387.00,83772.00,131721.92,144696.88,157939.32,165239.07,183398.56,181562.89,188575.95,
Thailand,25600.00,27300.00,26600.00,26900.00,28800.00,29700.00,29500.00,28400.00,29000.00,30800.00,32600.00,34100.00,36800.00,40000.00,44200.00,47400.00,49600.00,48300.00,54600.00,61800.00,69500.00,69800.00,72700.00,76200.00,80700.00,86500.00,91700.00,94900.00,93500.00,95400.00,101591.00,102414.00,97750.00,93576.00,128178.00,124347.00,126845.00,129703.00,125907.00,123541.00,201306.00,227322.00,252368.90,298450.00,338053.98,388530.46,405393.06,
Vietnam,39600.00,24100.00,20300.00,18200.00,16000.00,4500.00,,,,,200.00,600.00,600.00,1600.00,1600.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,3700.00,3700.00,16800.00,21200.00,27100.00,27800.00,33500.00,29700.00,29000.00,28999.00,35658.00,42588.00,41996.00,50855.00,54415.00,50840.00,60218.00,74739.00,83720.00,109176.00,135905.67,135300.41,149527.82,167386.36,205217.00,252441.00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
