Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,,,,0.56,0.80,1.09,1.74,2.21,2.39,3.05,4.35,5.08,5.42,5.70,4.81,6.60,7.15,8.03,8.33,
Indonesia,,,0.00,0.01,0.02,0.03,0.04,0.05,0.09,0.34,0.42,0.78,0.95,1.12,1.21,1.30,1.34,1.56,1.89,
Cambodia,,,,,0.00,0.00,0.01,0.01,0.02,0.06,0.12,0.21,0.25,0.15,0.20,0.22,0.43,0.53,0.61,
Lao PDR,,,,,,0.00,0.00,0.01,0.01,0.02,0.05,0.07,0.09,0.10,0.11,0.13,0.16,0.52,0.34,
Myanmar,,,,,,,,0.00,0.01,0.01,0.02,0.05,0.04,0.04,,,,0.06,0.06,
Malaysia,,,,0.02,0.08,0.44,1.00,1.87,2.85,3.86,4.87,5.59,7.42,8.72,9.99,9.89,10.14,10.00,8.74,
Philippines,,,,0.01,0.03,0.07,0.11,0.14,0.30,0.56,1.16,1.87,,1.88,2.22,2.61,2.90,4.78,5.46,
Singapore,0.27,0.78,1.76,3.75,6.53,9.80,12.46,14.60,17.08,19.57,22.09,24.85,26.35,27.12,27.02,27.60,26.72,26.45,25.45,
Thailand,,,,0.00,,0.02,0.25,0.85,1.36,1.96,3.13,3.96,4.90,5.85,6.77,7.75,8.09,9.24,10.69,
Vietnam,,,,,0.00,0.01,0.06,0.25,0.60,1.50,2.35,3.64,4.12,4.27,5.26,5.62,6.48,8.20,9.91,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
