Country Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brunei Darussalam,,,,,,,"39,322.00",,,"11,992,243.00","22,384,796.00",,,53.00,321.00,977.00,"25,239,183.00",,"16,386,077.00","42,372,651.00",,,,,"65,481,453.00","53,165,101.00","55,449,872.00","75,036,399.00",
Indonesia,,"101,180,000.00","144,306,712.00","224,574,514.00","493,821,102.00","882,872,278.00","1,375,925,745.00","1,685,982,037.00","2,291,795,910.00","2,611,199,836.00","2,256,518,817.00","2,728,364,531.00","5,774,419,213.00","4,471,258,542.00","5,158,848,176.00","4,680,910,343.00","5,902,813,446.00","6,671,058,414.00","6,034,485,448.00","5,356,419,372.00","5,762,686,044.00","6,038,545,109.00","5,742,569,481.00","5,727,738,147.00","4,962,402,547.00","4,818,332,512.00","4,980,582,046.00","4,409,587,991.00","3,947,114,863.00"
Cambodia,,,,,,,,,,,,,"1,095,933.00","957,962.00","3,245,461.00","7,017,878.00","4,200,420.00","3,536,852.00","981,098.00","1,480,818.00","3,200,602.00","8,462,992.00","4,699,613.00","5,139,291.00","6,848,985.00","15,578,928.00","30,874,012.00","60,108,587.00","39,805,148.00"
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,"18,944,616.00","20,711,937.00","11,789,240.00","43,699,300.00","153,563,462.00","297,939,232.00","274,940,688.00"
Myanmar,,,,,"34,340.00",,,,,,,,,,,,,,,,,,"41,739.00","3,740,373.00","15,424,968.00",,"15,332,214.00","10,501,158.00","255,291,456.00"
Malaysia,"3,732,510,571.00","4,676,491,292.00","6,050,305,410.00","7,951,230,303.00","10,219,630,229.00","13,495,282,897.00","19,166,912,147.00","25,408,874,429.00","26,330,796,170.00","29,501,429,556.00","31,661,692,698.00","39,994,086,879.00","47,025,952,935.00","40,927,407,517.00","42,253,911,181.00","47,074,778,795.00","53,268,141,268.00","57,700,357,985.00","63,493,770,185.00","65,223,947,548.00","42,971,572,907.00","50,971,808,371.00","59,331,817,835.00","61,126,964,506.00","61,228,924,357.00","60,378,253,483.00","63,376,041,042.00","57,257,697,127.00","55,588,250,783.00"
Philippines,,,,"2,003,826,037.00","1,111,128,055.00","1,413,760,829.00","1,811,180,663.00","2,471,030,199.00","9,942,599,252.00","14,367,156,160.00","19,044,395,918.00","24,175,397,321.00","25,255,816,101.00","21,025,886,575.00","23,880,908,253.00","23,955,318,370.00","25,869,410,149.00","26,019,715,020.00","27,653,464,668.00","29,526,159,013.00","26,889,303,346.00","21,525,688,076.00","16,071,867,452.00","12,949,169,027.00","20,795,049,384.00","21,810,356,356.00","23,839,225,492.00","26,192,288,870.00","26,139,673,126.00"
Singapore,,"11,643,931,309.00","15,023,064,248.00","17,311,581,862.00","21,773,042,951.00","27,516,281,358.00","40,313,852,578.00","53,636,846,754.00","58,000,525,979.00","59,752,080,267.00","54,894,563,402.00","60,030,536,679.00","73,920,978,262.00","62,552,702,241.00","64,119,593,432.00","76,411,037,761.00","94,225,281,972.00","105,656,173,155.00","124,739,041,673.00","102,853,621,506.00","117,067,882,072.00","95,398,094,528.00","126,981,502,643.00","126,434,946,962.00","128,239,439,593.00","135,601,531,429.00","137,369,116,389.00","130,988,629,328.00","126,322,799,405.00"
Thailand,,"2,132,280,537.00","3,030,979,698.00","3,868,391,499.00","4,778,256,551.00","5,444,163,614.00","7,743,026,426.00","10,096,666,550.00","11,576,924,208.00","12,657,216,487.00","13,558,805,259.00","13,998,103,915.00","17,293,040,958.00","15,227,797,755.00","15,688,054,626.00","18,259,980,893.00","20,610,893,825.00","22,553,664,350.00","27,051,581,167.00","30,321,849,612.00","31,303,092,122.00","27,764,379,900.00","34,156,221,484.00","33,264,733,346.00","33,767,674,064.00","33,901,233,425.00","34,992,376,969.00","34,543,515,383.00","34,720,646,340.00"
Vietnam,,,,,,,,,,"5,503,000.00","3,973,000.00","9,548,000.00","683,655,000.00","581,096,644.00","484,887,554.00","592,414,662.00","621,555,814.00","873,255,442.00","1,275,038,573.00","2,381,019,411.00","1,646,991,047.00","2,100,571,972.00","4,020,110,739.00","9,118,403,941.00","16,259,339,193.00","27,819,466,251.00","30,863,791,585.00","38,735,943,417.00",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
