Country Name,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.69,1.14,1.51,2.97,5.44,12.16,14.39,14.52,15.49,20.34,28.63,42.17,44.35,50.15,56.11,63.32,80.44,95.99,102.79,104.69,108.62,109.02,113.95,112.21,106.82,108.13,120.67,
Indonesia,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.11,0.29,0.46,0.53,1.08,1.76,3.08,5.44,8.48,13.71,20.90,28.02,40.43,60.01,68.92,87.79,102.46,114.22,125.36,128.78,132.55,149.13,
Cambodia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.13,0.21,0.29,0.52,0.75,1.07,1.79,2.99,3.85,6.55,7.95,12.70,18.79,30.39,44.31,56.74,94.19,128.53,133.89,132.73,133.00,124.94,
Lao PDR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,0.08,0.10,0.12,0.23,0.24,0.54,0.99,2.00,3.58,11.36,17.12,24.59,32.94,51.61,62.59,84.05,64.70,68.14,66.99,53.10,55.39,
Myanmar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.02,0.02,0.03,0.05,0.10,0.13,0.19,0.26,0.42,0.49,0.72,0.97,1.14,2.38,7.06,12.83,54.04,75.68,89.26,
Malaysia,0.00,0.00,0.00,,0.07,0.10,0.16,0.22,0.48,0.69,1.04,1.73,2.83,4.85,7.15,9.17,9.84,13.06,21.87,30.87,37.08,44.69,57.60,75.63,73.93,87.07,101.50,108.47,119.74,127.48,141.33,144.72,148.83,143.89,141.17,
Philippines,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.15,0.25,0.71,1.35,1.85,2.33,3.75,8.31,15.33,19.00,27.25,39.10,40.52,49.07,64.52,75.37,82.26,88.98,99.09,105.45,104.50,111.22,115.75,109.17,
Singapore,0.00,0.00,,,,,0.38,0.89,1.71,2.64,3.76,5.44,6.95,8.79,12.07,23.23,29.31,42.66,70.12,74.36,80.10,84.07,91.21,97.53,103.78,125.19,132.30,138.69,145.40,150.12,152.13,155.92,146.89,146.53,146.92,
Thailand,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.07,0.11,0.22,0.43,0.71,1.26,2.20,3.10,3.66,3.25,3.80,4.90,11.97,27.35,33.52,41.43,46.46,60.90,80.17,93.43,99.51,108.02,116.33,127.29,140.05,144.44,152.73,172.65,
Vietnam,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.09,0.21,0.28,0.41,0.97,1.53,2.30,3.29,5.89,11.29,22.03,52.02,85.70,111.37,125.29,141.60,145.02,134.97,147.11,128.85,128.04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
