Country Name,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,26,,,
Indonesia,3,,10,8,,7,4,4,8,,5,1,3,3,2,9,12,5,,16,40,26,49,32,62,,113,,34,67,38,29,61,40,79,93,152,157,212,234,201,227,235,288,284,386,415,508,533,,663,702,1058,,
Cambodia,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,
Lao PDR,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,9,3,5,,4,,,,,4,,,,,,,,,,,8,29,71,73,84,92,106,151,198,223,141,221,179,193,218,206,271,322,376,522,522,531,670,818,1234,1231,1076,1114,1199,1353,1272,,
Philippines,123,36,31,40,45,53,40,57,58,53,106,123,118,167,127,129,144,119,91,134,63,102,91,75,76,86,71,147,147,133,178,181,169,163,125,163,144,154,135,149,141,158,210,223,225,216,172,170,186,162,220,334,375,,
Singapore,,,,,,5,1,1,2,2,,,,,4,2,,2,4,,5,4,4,,,,,,,,,,145,224,288,311,374,516,523,624,626,641,569,626,696,793,750,895,1056,1081,1143,1303,1469,,
Thailand,,,,,,,,,,,,,,,,,7,13,26,40,48,49,55,60,68,78,43,73,80,67,110,150,145,203,246,479,738,561,534,615,802,819,891,1040,945,902,1025,1214,927,1020,1572,1006,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,52,,7,,20,46,58,37,34,32,22,23,37,30,25,35,34,52,69,78,103,180,196,219,204,258,306,300,382,443,487,582,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
